fecha,ticker_yahoo,empresa,precio_cierre,volumen,sma_50,sma_200
2022-06-01,COL.MC,Inmobiliaria Colonial,6.255,630524,6.653392,6.791712
2022-06-02,COL.MC,Inmobiliaria Colonial,6.109,1067593,6.642632,6.7841225
2022-06-03,COL.MC,Inmobiliaria Colonial,6.1841,573496,6.631706,6.777534
2022-06-06,COL.MC,Inmobiliaria Colonial,6.2341,585228,6.618778,6.771633
2022-06-07,COL.MC,Inmobiliaria Colonial,6.3342,704164,6.607018,6.7650235
2022-06-08,COL.MC,Inmobiliaria Colonial,6.2133,486245,6.592674,6.757747
2022-06-09,COL.MC,Inmobiliaria Colonial,5.9923,752246,6.57366,6.7494905
2022-06-10,COL.MC,Inmobiliaria Colonial,5.8297,878198,6.552812,6.7401085
2022-06-13,COL.MC,Inmobiliaria Colonial,5.4835,1009966,6.524706,6.7298085
2022-06-14,COL.MC,Inmobiliaria Colonial,5.4127,1008942,6.494766,6.7202595
2022-06-15,COL.MC,Inmobiliaria Colonial,5.5252,1350866,6.465826,6.7114605
2022-06-16,COL.MC,Inmobiliaria Colonial,5.4293,802176,6.439638,6.702453
2022-06-17,COL.MC,Inmobiliaria Colonial,5.446,2258769,6.411282,6.694509
2022-06-20,COL.MC,Inmobiliaria Colonial,5.4377,900545,6.382426,6.68619
2022-06-21,COL.MC,Inmobiliaria Colonial,5.3584,1133014,6.351318,6.677933
2022-06-22,COL.MC,Inmobiliaria Colonial,5.421,1013391,6.323128,6.668613
2022-06-23,COL.MC,Inmobiliaria Colonial,5.3209,1501744,6.291018,6.6583755
2022-06-24,COL.MC,Inmobiliaria Colonial,5.4919,789312,6.261912,6.6496395
2022-06-27,COL.MC,Inmobiliaria Colonial,5.4919,925020,6.232806,6.640653
2022-06-28,COL.MC,Inmobiliaria Colonial,5.5836,1067264,6.207868,6.632125
2022-06-29,COL.MC,Inmobiliaria Colonial,5.1791,1703053,6.174424,6.621658
2022-06-30,COL.MC,Inmobiliaria Colonial,5.0916,1627612,6.13798,6.61017
2022-07-01,COL.MC,Inmobiliaria Colonial,5.0791,1104542,6.103954,6.599057
2022-07-04,COL.MC,Inmobiliaria Colonial,4.9915,1289705,6.06851,6.5871515
2022-07-05,COL.MC,Inmobiliaria Colonial,4.9957,1089057,6.031732,6.5758095
2022-07-06,COL.MC,Inmobiliaria Colonial,5.1347,1189735,5.997984,6.564662
